_id,model,Serial,Barcode,prix,price,devise,Situation,PassOg,Description,ConfigUser,CreationDate,DMS,Photo,Power,files,localisation
184,24 RU,-,95269,2,5100,-,En stock,false,Fourniture de baie de 24 RU de marque NEXT,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
185,Type 3,,85033,2.4,5600,Mad,En stock,false,Fourniture d'un coffret ̩l̩ctrique BT type 3,h.zagrari,2024-12-09T12:49:30.848Z,,,,,
186,DR5000,1842-07813,77888,3,4404,Euro,En stock,false,IRD d̩codeur/ recepteur satellitaire,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
187,DR5000,1842-07812,77886,3,4404,Euro,En stock,false,IRD d̩codeur/ recepteur satellitaire,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
188,W6-230L,240201798,102061,6,24900,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
189,W6-230L,240201797,102060,6,24900,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
190,W6-230L,240201799,102059,6,24900,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
191,W6-230L,240201794,102058,5,24900,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
192,W6-230L,240201792,102057,4,24900,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
193,W6-230L,240201796,102056,5,24900,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
194,W6-230L,240201795,102055,5,24900,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
195,W6-230L,240201793,102054,4,24900,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
196,W6-230L,240201791,102053,4,24900,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
197,551610120X,240201802,102052,2,5300,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
198,551610120X,240201804,102051,2,5300,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
199,551610120X,240201801,102050,2,5300,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
200,551610120X,240201805,102049,2,5300,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
201,551610120X,240201803,102048,2,5300,Euro,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
202,MEX II,230100296,102047,1,0,-,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
203,MEX II,230100920,102046,1,0,-,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
204,MEX II,230100294,102045,1,0,-,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
205,MEX II,230100295,102044,1,0,-,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
206,MEX II,230100293,102043,1,0,-,En stock,false,-,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
207,DCP-3000,UH04A24090072,100312,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
208,DCP-3000,UH04A24090094,100311,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
209,DCP-3000,UH04A24090065,100310,1,38924.50,Mad,En stock,true,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2025-07-17T12:54:39.639Z,,-,0,-,-
210,DCP-3000,UH04A24090078,100308,1,38924.50,Mad,En stock,true,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2025-07-17T12:54:39.644Z,,-,0,-,-
211,DCP-3000,UH04A24090071,100307,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
212,DCP-3000,UH04A24090054,100306,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
213,DCP-3000,UH04A24090060,100305,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
214,DCP-3000,UH04A24090070,100304,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
215,DCP-3000,UH04A24090052,100303,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
216,DCP-3000,UH04A24090088,100302,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
217,DCP-3000,UH04A24090092,100301,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
218,HPA 4413AL,4495,55844,1,801900,Mad,En stock,false,"amplificateur HPA de marque NDSATCOM, model HPA 4413AL 400W KU BAND INDOOR avec lineariser",h.zagrari,2024-12-12T11:33:27.380Z,,,400,,
219,RC 6000,7-B-000018,55846,2,59400,Mad,En stock,false,unit̩ de contr̫le de redondancede marque NDSATCOM model RC 6000,h.zagrari,2024-12-25T14:26:04.019Z,,,,,
220,RC 6000,7-B-000021,55847,2,59400,Mad,En stock,false,unit̩ de contr̫le de redondancede marque NDSATCOM model RC 6000,h.zagrari,2024-12-25T14:26:37.565Z,,,,,
221,DCP-3000,UH04A24090083,100296,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
222,DCP-3000,UH04A24090076,100295,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
